"permit_number","streetname","Cross Street 1","Cross Street 2","Utility / Contractor","Permit Reason","Utility Type","Effective Date","Expiration Date","Status","cnn"
"09EXC-4273","FRONT ST","CALIFORNIA ST","HALLECK ST","Pacific Gas & Electric","Repair Manhole","Electric","2009-07-23 00:00:00","2009-09-05 00:00:00","APPROVED","5869000"
"09EXC-4874","CHURCH ST","RESERVOIR ST","14TH ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-12 00:00:00","2009-09-25 00:00:00","APPROVED","4008000"
"09EXC-4691","GEARY BLVD","39TH AVE","40TH AVE","Pacific Gas & Electric","Repair Manhole","Gas","2009-08-17 00:00:00","2009-09-30 00:00:00","APPROVED","6096101"
"09EXC-4571","HOWARD ST","MOSS ST","07TH ST","Comcast Cable Corporation","Install New Main","Cable TV","2009-08-05 00:00:00","2009-09-03 00:00:00","APPROVED","7046000"
"09EXC-5058","VAN NESS AVE","PINE ST","CALIFORNIA ST","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-24 00:00:00","2009-09-02 00:00:00","APPROVED","13157201"
"09EXC-5076","25TH ST","DE HARO ST","","San Francisco Water Department","Repair Leak","Water Service","2009-08-24 00:00:00","2009-09-22 00:00:00","APPROVED","23692000"
"09EXC-5076","DE HARO ST","25TH ST","","San Francisco Water Department","Repair Leak","Water Service","2009-08-24 00:00:00","2009-09-22 00:00:00","APPROVED","23692000"
"09EXC-1029","GEARY ST","GRANT AVE","STOCKTON ST","Pacific Gas & Electric","Relocate Service","Electric","2009-08-17 00:00:00","2009-09-30 00:00:00","APPROVED","6108000"
"09EXC-5130","MISSION ST","16TH ST","17TH ST","Bureau of Urban Forestry","Replace Sidewalk","Sidewalk/Curb","2009-08-28 00:00:00","2009-09-06 00:00:00","APPROVED","9116000"
"09EXC-4857","EDDY ST","LEAVENWORTH ST","HYDE ST","San Francisco Water Department","Repair Main","Water Service","2009-08-17 00:00:00","2009-09-15 00:00:00","APPROVED","5062000"
"09EXC-5047","PIERCE ST","BROADWAY","VALLEJO ST","San Francisco Water Department","Repair Leak","Water Service","2009-08-24 00:00:00","2009-09-02 00:00:00","APPROVED","10439000"
"09EXC-4760","09TH AVE","CABRILLO ST","FULTON ST","Pacific Gas & Electric","Repair Leak","Gas","2009-08-06 00:00:00","2009-09-19 00:00:00","APPROVED","429000"
"09EXC-4422","15TH AVE","LINCOLN WAY","IRVING ST","Pacific Gas & Electric","Replace Service","Gas","2009-08-10 00:00:00","2009-09-23 00:00:00","APPROVED","613000"
"SFWD013320","NAPLES ST","SEVILLE ST","MUNICH ST","San Francisco Water Department","Repair Leak","Water Service","2010-10-09 00:00:00","2010-11-08 00:00:00","APPROVED","9501000"
"09EXC-5072","24TH AVE","CALIFORNIA ST","CLEMENT ST","Bureau of Street & Sewer Repair","Reconstruct Pavement","Street / Roadway","2009-09-01 00:00:00","2009-09-30 00:00:00","APPROVED","1292000"
"09EXC-5030","VALENCIA ST","25TH ST","26TH ST","San Francisco Water Department","Install New Service","Water Service","2009-09-01 00:00:00","2009-09-30 00:00:00","APPROVED","13074000"
"09EXC-4616","MARSTON AVE","EDNA ST","END","Pacific Gas & Electric","Replace Service","Gas","2009-09-14 00:00:00","2009-10-28 00:00:00","APPROVED","8784000"
